Wavelength[nm],Intensity[normalized],Phase[rad]
450.17,0.00121465,-1.02009330
450.63,0.00107376,-0.93540020
451.09,0.00111741,-0.85655038
451.55,0.00116637,-0.78358346
452.01,0.00109808,-0.71605055
452.47,0.00096835,-0.65399087
452.93,0.00084163,-0.59793170
453.39,0.00071273,-0.54693531
453.85,0.00075739,-0.50250515
454.31,0.00111484,-0.46272653
454.77,0.00162762,-0.42812596
455.23,0.00220262,-0.39971807
455.69,0.00277987,-0.37656415
456.15,0.00314716,-0.35870186
456.61,0.00326694,-0.34665697
457.07,0.00344743,-0.34046679
457.53,0.00388485,-0.33870358
457.99,0.00424387,-0.34286913
458.44,0.00429999,-0.35251189
458.90,0.00438137,-0.36669187
459.36,0.00466108,-0.38544547
459.82,0.00498942,-0.40832061
460.28,0.00534189,-0.43584160
460.74,0.00575071,-0.46657947
461.20,0.00613395,-0.49959333
461.66,0.00651775,-0.53491869
462.12,0.00714858,-0.57063776
462.58,0.00813988,-0.60629741
463.04,0.00909618,-0.64242093
463.50,0.00950371,-0.67757828
463.96,0.00944228,-0.71180413
464.42,0.00936759,-0.74464468
464.88,0.00956658,-0.77515767
465.34,0.01003395,-0.80240071
465.79,0.01059890,-0.82640778
466.25,0.01107697,-0.84574785
466.71,0.01132811,-0.86045460
467.17,0.01146058,-0.87056152
467.63,0.01158387,-0.87512539
468.09,0.01168422,-0.87271454
468.55,0.01191370,-0.86385027
469.01,0.01222572,-0.85051858
469.47,0.01251033,-0.83324045
469.93,0.01293643,-0.81156014
470.38,0.01355056,-0.78697490
470.84,0.01423560,-0.75951696
471.30,0.01489075,-0.73117155
471.76,0.01540139,-0.70148231
472.22,0.01569498,-0.67243415
472.68,0.01592618,-0.64357043
473.14,0.01627970,-0.61638747
473.60,0.01673706,-0.59091661
474.05,0.01737515,-0.56865389
474.51,0.01820070,-0.54963033
474.97,0.01904816,-0.53485341
475.43,0.01994821,-0.52435387
475.89,0.02078749,-0.51962717
476.35,0.02128470,-0.52314516
476.81,0.02155818,-0.53200849
477.26,0.02191803,-0.54673562
477.72,0.02245401,-0.56638002
478.18,0.02320745,-0.59292471
478.64,0.02414663,-0.62395805
479.10,0.02495200,-0.65902138
479.56,0.02539718,-0.69667933
480.01,0.02565968,-0.73647298
480.47,0.02609090,-0.77745497
480.93,0.02686912,-0.81867781
481.39,0.02786643,-0.85968217
481.85,0.02887118,-0.89854373
482.30,0.02965407,-0.93529116
482.76,0.02999792,-0.96848817
483.22,0.03010096,-0.99767488
483.68,0.03042654,-1.02239130
484.14,0.03101015,-1.04168902
484.60,0.03152635,-1.05315465
485.05,0.03195327,-1.05828093
485.51,0.03255610,-1.05709564
485.97,0.03320981,-1.04913813
486.43,0.03358540,-1.03492419
486.88,0.03397698,-1.01057498
487.34,0.03485021,-0.98051228
487.80,0.03602236,-0.94622809
488.26,0.03704529,-0.90774942
488.72,0.03772285,-0.86705629
489.17,0.03815316,-0.82368721
489.63,0.03864952,-0.77962194
490.09,0.03939768,-0.73537530
490.55,0.04011491,-0.69195028
491.00,0.04053063,-0.64986144
491.46,0.04089645,-0.61059981
491.92,0.04151207,-0.57516802
492.38,0.04238857,-0.54310372
492.83,0.04342220,-0.51687415
493.29,0.04441579,-0.49796987
493.75,0.04513052,-0.48592818
494.21,0.04544386,-0.48077458
494.66,0.04551085,-0.48253443
495.12,0.04574650,-0.49074470
495.58,0.04626383,-0.51031336
496.04,0.04681491,-0.53687091
496.49,0.04740439,-0.56897742
496.95,0.04812825,-0.60616942
497.41,0.04897158,-0.64749505
497.87,0.04999589,-0.69249063
498.32,0.05109200,-0.73971579
498.78,0.05195066,-0.78870662
499.24,0.05252430,-0.83899912
499.69,0.05299919,-0.88866433
500.15,0.05336678,-0.93723800
500.61,0.05361935,-0.98425583
501.06,0.05406589,-1.02876508
501.52,0.05500711,-1.07030122
501.98,0.05628603,-1.10742303
502.44,0.05746647,-1.13722438
502.89,0.05852384,-1.16265837
503.35,0.05970087,-1.18228349
